ImageNumber,ObjectNumber,Metadata_Channel,Metadata_Column,Metadata_Field,Metadata_FileLocation,Metadata_Frame,Metadata_Plane,Metadata_Row,Metadata_Series,Metadata_Time,Metadata_Well,Parent_Bac
8,5,nan,003,7,nan,0,001,001,0,001,A003,5
8,6,nan,003,7,nan,0,001,001,0,001,A003,6
8,7,nan,003,7,nan,0,001,001,0,001,A003,7
8,8,nan,003,7,nan,0,001,001,0,001,A003,8
8,9,nan,003,7,nan,0,001,001,0,001,A003,9
8,10,nan,003,7,nan,0,001,001,0,001,A003,10
8,11,nan,003,7,nan,0,001,001,0,001,A003,11
8,12,nan,003,7,nan,0,001,001,0,001,A003,12
8,13,nan,003,7,nan,0,001,001,0,001,A003,13
8,14,nan,003,7,nan,0,001,001,0,001,A003,14
8,15,nan,003,7,nan,0,001,001,0,001,A003,15
8,16,nan,003,7,nan,0,001,001,0,001,A003,16
8,17,nan,003,7,nan,0,001,001,0,001,A003,17
8,18,nan,003,7,nan,0,001,001,0,001,A003,18
8,19,nan,003,7,nan,0,001,001,0,001,A003,19
8,20,nan,003,7,nan,0,001,001,0,001,A003,20
8,21,nan,003,7,nan,0,001,001,0,001,A003,21
8,22,nan,003,7,nan,0,001,001,0,001,A003,22
8,23,nan,003,7,nan,0,001,001,0,001,A003,23
8,24,nan,003,7,nan,0,001,001,0,001,A003,24
8,25,nan,003,7,nan,0,001,001,0,001,A003,25
8,26,nan,003,7,nan,0,001,001,0,001,A003,26
8,27,nan,003,7,nan,0,001,001,0,001,A003,27
8,28,nan,003,7,nan,0,001,001,0,001,A003,28
8,29,nan,003,7,nan,0,001,001,0,001,A003,29
8,30,nan,003,7,nan,0,001,001,0,001,A003,30
8,31,nan,003,7,nan,0,001,001,0,001,A003,31
8,32,nan,003,7,nan,0,001,001,0,001,A003,32
8,33,nan,003,7,nan,0,001,001,0,001,A003,33
8,34,nan,003,7,nan,0,001,001,0,001,A003,34
8,35,nan,003,7,nan,0,001,001,0,001,A003,35
8,36,nan,003,7,nan,0,001,001,0,001,A003,36
8,37,nan,003,7,nan,0,001,001,0,001,A003,37
8,38,nan,003,7,nan,0,001,001,0,001,A003,38
8,39,nan,003,7,nan,0,001,001,0,001,A003,39
8,40,nan,003,7,nan,0,001,001,0,001,A003,40
8,41,nan,003,7,nan,0,001,001,0,001,A003,41
8,42,nan,003,7,nan,0,001,001,0,001,A003,42
8,43,nan,003,7,nan,0,001,001,0,001,A003,43
8,44,nan,003,7,nan,0,001,001,0,001,A003,44
8,45,nan,003,7,nan,0,001,001,0,001,A003,45
8,46,nan,003,7,nan,0,001,001,0,001,A003,46
8,47,nan,003,7,nan,0,001,001,0,001,A003,47
8,48,nan,003,7,nan,0,001,001,0,001,A003,48
8,49,nan,003,7,nan,0,001,001,0,001,A003,50
8,50,nan,003,7,nan,0,001,001,0,001,A003,51
8,51,nan,003,7,nan,0,001,001,0,001,A003,52
8,52,nan,003,7,nan,0,001,001,0,001,A003,53
8,53,nan,003,7,nan,0,001,001,0,001,A003,54
8,54,nan,003,7,nan,0,001,001,0,001,A003,55
8,55,nan,003,7,nan,0,001,001,0,001,A003,56
8,56,nan,003,7,nan,0,001,001,0,001,A003,57
8,57,nan,003,7,nan,0,001,001,0,001,A003,58
8,58,nan,003,7,nan,0,001,001,0,001,A003,59
8,59,nan,003,7,nan,0,001,001,0,001,A003,60
8,60,nan,003,7,nan,0,001,001,0,001,A003,61
8,61,nan,003,7,nan,0,001,001,0,001,A003,62
8,62,nan,003,7,nan,0,001,001,0,001,A003,63
8,63,nan,003,7,nan,0,001,001,0,001,A003,64
8,64,nan,003,7,nan,0,001,001,0,001,A003,65
8,65,nan,003,7,nan,0,001,001,0,001,A003,66
9,1,nan,003,8,nan,0,001,001,0,001,A003,1
9,2,nan,003,8,nan,0,001,001,0,001,A003,2
9,3,nan,003,8,nan,0,001,001,0,001,A003,3
9,4,nan,003,8,nan,0,001,001,0,001,A003,4
9,5,nan,003,8,nan,0,001,001,0,001,A003,5
9,6,nan,003,8,nan,0,001,001,0,001,A003,6
9,7,nan,003,8,nan,0,001,001,0,001,A003,7
9,8,nan,003,8,nan,0,001,001,0,001,A003,8
9,9,nan,003,8,nan,0,001,001,0,001,A003,9
